event_term,count
Nausea,204095
Headache,222853
Fatigue,231539
Dizziness,137554
Vomiting,129911
Diarrhoea,147928
Abdominal pain,147892
Rash,59802
Pruritus,96745
Insomnia,125451
Cough,67897
Dyspnoea,113093
Decreased appetite,95435
Weight increased,127926
Weight decreased,83857
Depression,18708
Anxiety,122078
Pyrexia,14218
Oedema peripheral,29247
Constipation,21949
Dyspepsia,33609
Palpitations,12272
Chest pain,29874
Somnolence,15296
Tremor,24951
Vision blurred,36457
Hyperhidrosis,46355
Dry mouth,38767
Back pain,13986
Muscle spasms,46635
Pain in extremity,49781
Asthenia,41744
Malaise,34847
Chills,45578
Vertigo,21144
Hypotension,12106
Tachycardia,12776
Erythema,14859
Tinnitus,22309
Hypertension,46375
Lactic acidosis,11302
Gastrooesophageal reflux disease,7735
Hepatotoxicity,2867
Suicidal ideation,1686
Alopecia,6455
Arthralgia,8922
Myalgia,3386
Pancreatitis acute,769
Immune-mediated pneumonitis,146
Rhabdomyolysis,546
